no,slug,label_ja,filename
1,shopping-memo,買い物メモ,01_shopping-memo.svg
2,benefit,特典,02_benefit.svg
3,buyers,購入者,03_buyers.svg
4,settlement,精算,04_settlement.svg
5,unpurchased,未購入,05_unpurchased.svg
6,purchased,購入済み,06_purchased.svg
7,release-date,発売日,07_release-date.svg
8,shipped,発送済み,08_shipped.svg
9,waiting-release,発売待ち,09_waiting-release.svg
10,restock-waiting,再入荷待ち,10_restock-waiting.svg
11,application,応募・申込,11_application.svg
12,lottery-result,抽選結果,12_lottery-result.svg
13,won,当選,13_won.svg
14,lost,落選,14_lost.svg
15,payment-waiting,支払い待ち,15_payment-waiting.svg
16,paid,支払い済み,16_paid.svg
17,advance-payment,立替,17_advance-payment.svg
18,settlement-complete,精算完了,18_settlement-complete.svg
19,split-bill,割り勘,19_split-bill.svg
20,breakdown,内訳,20_breakdown.svg
21,search,検索,21_search.svg
22,filter,絞り込み,22_filter.svg
23,category,カテゴリ,23_category.svg
24,label,タグ,24_label.svg
25,favorite,お気に入り,25_favorite.svg
26,oshi,推し,26_oshi.svg
27,add,追加,27_add.svg
28,edit,編集,28_edit.svg
29,delete,削除,29_delete.svg
30,more,その他,30_more.svg
31,home,ホーム,31_home.svg
32,memo-list,メモ一覧,32_memo-list.svg
33,new-memo,新規作成,33_new-memo.svg
34,schedule,イベント予定,34_schedule.svg
35,live-concert,ライブ・コンサート,35_live-concert.svg
36,event,イベント,36_event.svg
37,place,場所・会場,37_place.svg
38,announcement,お知らせ,38_announcement.svg
39,notification,通知,39_notification.svg
40,settings,設定,40_settings.svg
41,cafe,カフェ巡り,41_cafe.svg
42,only-shop,オンリーショップ,42_only-shop.svg
43,exchange,交換・譲渡,43_exchange.svg
44,travel,遠征・旅行,44_travel.svg
45,pilgrimage,聖地巡礼,45_pilgrimage.svg
46,photo,写真・記録,46_photo.svg
47,free-memo,メモ・記録,47_free-memo.svg
48,todo,やることリスト,48_todo.svg
49,complete,完了,49_complete.svg
50,ranking,ランキング,50_ranking.svg
